"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Germany","2018","Total","Female","100 - 104","Estimate - de jure","Final figure, complete","2019","10087","1"
"Germany","2018","Total","Female","100 +","Estimate - de jure","Final figure, complete","2018","11787","1"
"Germany","2018","Total","Female","101","Estimate - de jure","Final figure, complete","2019","2282","1"
"Germany","2018","Total","Female","102","Estimate - de jure","Final figure, complete","2019","2020","1"
"Germany","2018","Total","Female","103","Estimate - de jure","Final figure, complete","2019","1535","1"
"Germany","2018","Total","Female","104","Estimate - de jure","Final figure, complete","2019","1015","1"
"Germany","2018","Total","Female","105","Estimate - de jure","Final figure, complete","2019","642","1"
"Germany","2018","Total","Female","105 - 109","Estimate - de jure","Final figure, complete","2019","1515","1"
"Germany","2018","Total","Female","106","Estimate - de jure","Final figure, complete","2019","395","1"
"Germany","2018","Total","Female","107","Estimate - de jure","Final figure, complete","2019","256","1"
"Germany","2018","Total","Female","108","Estimate - de jure","Final figure, complete","2019","131","1"
"Germany","2018","Total","Female","109","Estimate - de jure","Final figure, complete","2019","91","1"
"Germany","2018","Total","Female","110 +","Estimate - de jure","Final figure, complete","2019","185","1"

"footnoteSeqID","Footnote"
"1","Based on the results of the 2011 Population Census."
